Paginas,Rank
benshorts,0.023091389621018633
caligaris,0.014346871400671632
canela,0.024966409102595982
comino,0.03642910798510246
elbananero,0.07194038901177163
facebook,0.10038160459276697
google,0.10547402274875871
hacker,0.02949758501979232
hackernews,0.03167790075536315
laptop,0.02085741251842942
medium,0.0646600785286882
mentiras,0.04881409098456934
sopitas,0.06934503326605242
techcrunch,0.03820798414996762
theverge,0.04928990367027908
twitter,0.09396212113126869
vine,0.05198993177829266
wired,0.03571728730952018
youtube,0.08935087642509076
